# name	url	policy
rnaseq	https://github.com/nf-core/rnaseq.git	latest-release
sarek	https://github.com/nf-core/sarek.git	latest-release
scrnaseq	https://github.com/nf-core/scrnaseq.git	latest-release
fetchngs	https://github.com/nf-core/fetchngs.git	latest-release
airrflow	https://github.com/nf-core/airrflow.git	latest-release
ampliseq	https://github.com/nf-core/ampliseq.git	latest-release
atacseq	https://github.com/nf-core/atacseq.git	latest-release
bacass	https://github.com/nf-core/bacass.git	latest-release
bactmap	https://github.com/nf-core/bactmap.git	latest-release
bamtofastq	https://github.com/nf-core/bamtofastq.git	latest-release
callingcards	https://github.com/nf-core/callingcards.git	latest-release
chipseq	https://github.com/nf-core/chipseq.git	latest-release
circdna	https://github.com/nf-core/circdna.git	latest-release
coproid	https://github.com/nf-core/coproid.git	latest-release
createpanelrefs	https://github.com/nf-core/createpanelrefs.git	latest-release
createtaxdb	https://github.com/nf-core/createtaxdb.git	latest-release
crisprseq	https://github.com/nf-core/crisprseq.git	latest-release
cutandrun	https://github.com/nf-core/cutandrun.git	latest-release
demo	https://github.com/nf-core/demo.git	latest-release
demultiplex	https://github.com/nf-core/demultiplex.git	latest-release
denovotranscript	https://github.com/nf-core/denovotranscript.git	latest-release
detaxizer	https://github.com/nf-core/detaxizer.git	latest-release
differentialabundance	https://github.com/nf-core/differentialabundance.git	latest-release
drop	https://github.com/nf-core/drop.git	latest-release
drugresponseeval	https://github.com/nf-core/drugresponseeval.git	latest-release
epitopeprediction	https://github.com/nf-core/epitopeprediction.git	latest-release
fastqrepair	https://github.com/nf-core/fastqrepair.git	latest-release
fastquorum	https://github.com/nf-core/fastquorum.git	latest-release
funcscan	https://github.com/nf-core/funcscan.git	latest-release
genomeassembler	https://github.com/nf-core/genomeassembler.git	latest-release
hgtseq	https://github.com/nf-core/hgtseq.git	latest-release
